# ell D_l^TT D_l^EE D_l^BB D_l^TE C_l^kk
8.900000000000000000e+01 2.121658886512389017e+03 5.464770342389033697e-01 2.176390364852572035e-03 -1.438518699893583808e+01 1.631661607200125927e-07
9.000000000000000000e+01 2.147330042507072903e+03 5.605324436046623671e-01 2.225838598312112043e-03 -1.495015664648203746e+01 1.621697580864864029e-07
9.100000000000000000e+01 2.173119823129755787e+03 5.745503088452885709e-01 2.275882058111356344e-03 -1.551905027541200610e+01 1.611779938791209013e-07
9.200000000000000000e+01 2.199177166458054671e+03 5.885183673082107214e-01 2.326523730418681747e-03 -1.609120873883047409e+01 1.601909882767316371e-07
9.300000000000000000e+01 2.225503027317962733e+03 6.024329991540936513e-01 2.377766585947832263e-03 -1.666678174136002966e+01 1.592087907396415432e-07
9.400000000000000000e+01 2.251875592537630382e+03 6.162608838779073395e-01 2.429613575794568013e-03 -1.724443389062017573e+01 1.582315070248861940e-07
9.500000000000000000e+01 2.278518587284969726e+03 6.300058309834390968e-01 2.482067627296939347e-03 -1.782505751136178773e+01 1.572591323175646903e-07
9.600000000000000000e+01 2.305135943897181733e+03 6.436568006549440168e-01 2.535131641990948613e-03 -1.840805983462093565e+01 1.562917917499571916e-07
9.700000000000000000e+01 2.332174158201618866e+03 6.572027550523255046e-01 2.588808494173807945e-03 -1.899284812439192294e+01 1.553295370377393312e-07
9.800000000000000000e+01 2.359411420827533675e+03 6.706400839790718216e-01 2.643101030743227973e-03 -1.957734455431883802e+01 1.543724207856888251e-07
9.900000000000000000e+01 2.386700179758308877e+03 6.839354767979323180e-01 2.698012072201192574e-03 -2.016466927190467118e+01 1.534205144080933719e-07
1.000000000000000000e+02 2.414264165373883770e+03 6.970927530943160644e-01 2.753544414709548516e-03 -2.075051683773666866e+01 1.524739075882915658e-07
1.010000000000000000e+02 2.441955827983194467e+03 7.101751395872495376e-01 2.809700833210275993e-03 -2.133800747722611035e+01 1.515326546105057994e-07
1.020000000000000000e+02 2.470147412846490170e+03 7.230379476622700308e-01 2.866484086068403145e-03 -2.192506351986028790e+01 1.505967930298432193e-07
1.030000000000000000e+02 2.498245835187556622e+03 7.357592596518046646e-01 2.923896920517937963e-03 -2.251257758846418255e+01 1.496664841946414417e-07
1.040000000000000000e+02 2.526549086445923876e+03 7.483429038629456631e-01 2.981942078812686425e-03 -2.309772953846884036e+01 1.487417312379663359e-07
1.050000000000000000e+02 2.554983878019239455e+03 7.607184546017173865e-01 3.040622305784509462e-03 -2.368215464718302599e+01 1.478226258724061393e-07
1.060000000000000000e+02 2.583625434996100012e+03 7.729640009446209215e-01 3.099940356821420315e-03 -2.426526055306442231e+01 1.469092426483974874e-07
1.070000000000000000e+02 2.612177702379713992e+03 7.849348655061511026e-01 3.159899007351486908e-03 -2.484571238248628688e+01 1.460016565577713105e-07
1.080000000000000000e+02 2.641087188802839137e+03 7.967091419540319741e-01 3.220501061860106626e-03 -2.542440300149509724e+01 1.450999600127583637e-07
1.090000000000000000e+02 2.670132097734561739e+03 8.082164137701011164e-01 3.281749364280465639e-03 -2.599999764255442258e+01 1.442042623334787866e-07
1.100000000000000000e+02 2.699239146179511863e+03 8.194605230076242863e-01 3.343646808740269663e-03 -2.657116159376997544e+01 1.433145717985993804e-07
1.110000000000000000e+02 2.728483380415109423e+03 8.305189626893940691e-01 3.406196350579752518e-03 -2.713950451142867237e+01 1.424310177309396129e-07
1.120000000000000000e+02 2.757864854562467372e+03 8.413182852413026991e-01 3.469401017230964914e-03 -2.770430466668470260e+01 1.415535711203084342e-07
1.130000000000000000e+02 2.787457695632710511e+03 8.518586940544524699e-01 3.533263919528652035e-03 -2.826407188968062201e+01 1.406822392427711658e-07
1.140000000000000000e+02 2.817113262658639542e+03 8.620661385821393186e-01 3.597788262997334615e-03 -2.881805863530385992e+01 1.398170294554534405e-07
1.150000000000000000e+02 2.846979940367757081e+03 8.720893393276439864e-01 3.662977358419766943e-03 -2.936625998473430244e+01 1.389579329163168120e-07
1.160000000000000000e+02 2.876834832852714953e+03 8.817057378272206147e-01 3.728834632559700248e-03 -2.990792852193866835e+01 1.381049736218190754e-07
1.170000000000000000e+02 2.906974838490146794e+03 8.909898028788394431e-01 3.795363638239338932e-03 -3.044231689760583848e+01 1.372581109143550458e-07
1.180000000000000000e+02 2.937251318608879501e+03 9.000902617665744732e-01 3.862568063679040157e-03 -3.097016295551709675e+01 1.364173213642058201e-07
1.190000000000000000e+02 2.967515634908494576e+03 9.088588189803479267e-01 3.930451741169342650e-03 -3.148923435884528743e+01 1.355826777448628241e-07
1.200000000000000000e+02 2.997916174379217409e+03 9.171471811808886709e-01 3.999018655016245254e-03 -3.199952652887736804e+01 1.347541249790133495e-07
1.210000000000000000e+02 3.028304299224149872e+03 9.252525946606089402e-01 4.068272947889834713e-03 -3.250103495865457148e+01 1.339316723992487803e-07
1.220000000000000000e+02 3.058754140534739690e+03 9.328782577987978497e-01 4.138218926994493251e-03 -3.299301265152494977e+01 1.331153606265240595e-07
1.230000000000000000e+02 3.089265573220451188e+03 9.400986522631175069e-01 4.208861067926101748e-03 -3.347545524710307063e+01 1.323051364917182525e-07
1.240000000000000000e+02 3.119838472193505368e+03 9.469882617054141694e-01 4.280204018081682979e-03 -3.394538820963219194e+01 1.315010563608033176e-07
1.250000000000000000e+02 3.150398456059526779e+03 9.534730592031182006e-01 4.352252598221594687e-03 -3.440503501624445448e+01 1.307030835502329326e-07
1.260000000000000000e+02 3.181019655814872749e+03 9.596275321956629911e-01 4.425011802667554346e-03 -3.485364897011481133e+01 1.299112130263102027e-07
1.270000000000000000e+02 3.211627689801391170e+03 9.653034011662802172e-01 4.498486797712327942e-03 -3.529048345100536466e+01 1.291255007892043143e-07
1.280000000000000000e+02 3.242222432419215693e+03 9.706494133185378237e-01 4.572682918815428044e-03 -3.571479191569655853e+01 1.283459114362767848e-07
1.290000000000000000e+02 3.272878014098215772e+03 9.755172924983822602e-01 4.647605665809899367e-03 -3.612582789830262442e+01 1.275724556246799779e-07
1.300000000000000000e+02 3.303520052528572705e+03 9.799072766112906230e-01 4.723260696508534834e-03 -3.652284501046898413e+01 1.268051440676233741e-07
1.310000000000000000e+02 3.334148756792495533e+03 9.839680784843074512e-01 4.799653818828637786e-03 -3.690733607810918215e+01 1.260439643538963892e-07
1.320000000000000000e+02 3.364839933538995410e+03 9.875512311234059259e-01 4.876790980927719898e-03 -3.727638442633948301e+01 1.252888856684408786e-07
